s0,s1,s2,transform,action,overall
CC,CC,R,0.0112277,0.272128,0.351801
CC,CC,R,0.0112207,0.276406,0.348468
CC,CC,R,0.00776115,0.2756,0.367775
CC,CC,R,0.0113001,0.274795,0.355834
CC,CC,R,0.0112349,0.276358,0.350489
CC,CC,R,0.0113377,0.276436,0.352764
CC,CC,R,0.00720491,0.271917,0.351151
CC,RR,CC,0.017705,0.245524,0.328839
CC,RR,CC,0.0173059,0.245546,0.338717
CC,RR,CC,0.0169,0.247998,0.333557
CC,RR,CC,0.01636,0.246473,0.329294
CC,RR,CC,0.0162566,0.247025,0.332612
CC,RR,CC,0.0162498,0.248444,0.328781
CC,RR,CC,0.0171951,0.24715,0.330574
CC,RR,CC,0.0161831,0.245427,0.327528
CC,RR,CC,0.0169913,0.24407,0.34211
CC,RR,CC,0.0161844,0.240959,0.324778
CC,RR,CC,0.0163795,0.239232,0.317417
CC,RR,CC,0.0160048,0.239754,0.318849
CC,RR,CC,0.0159347,0.240755,0.313269
CC,RR,CC,0.0160012,0.239381,0.324386
CC,RR,CC,0.0160152,0.241333,0.320409
CC,RR,CC,0.016062,0.240067,0.338199
CC,RR,CC,0.0169642,0.239511,0.320919
CC,RR,CC,0.0170937,0.239517,0.319777
CC,RR,CC,0.0159059,0.237738,0.319414
CC,RR,CC,0.0158411,0.237642,0.318395
CC,RR,RR,0.0175804,0.240091,0.322054
CC,RR,RR,0.0174814,0.242225,0.325442
CC,RR,RR,0.0176956,0.244274,0.363619
CC,RR,RR,0.018062,0.247415,0.341821
CC,RR,RR,0.014302,0.245285,0.327116
CC,RR,RR,0.0177108,0.244547,0.326294
CC,RR,RR,0.0178119,0.247609,0.335127
CC,RR,RR,0.0174799,0.24532,0.326783
CC,RR,RR,0.0174285,0.246132,0.338027
CC,RR,RR,0.018464,0.2459,0.328478
CC,RR,RR,0.0177469,0.243737,0.33089
CC,RR,RR,0.0172749,0.244745,0.326367
CC,RR,RR,0.0141292,0.244802,0.327863
CC,RR,RR,0.0180317,0.243538,0.330514
CC,RR,RR,0.017227,0.243137,0.324935
CC,RR,RR,0.0141867,0.239927,0.339076
CC,RR,RR,0.0173173,0.239112,0.319909
CC,RR,RR,0.0171673,0.235676,0.316927
CC,RR,RR,0.0173457,0.236147,0.317903
CC,RR,RR,0.0148243,0.241123,0.329106
CC,RR,CR,0.0170486,0.241238,0.320608
CC,RR,CR,0.0162054,0.247837,0.33395
CC,RR,CR,0.0161615,0.250253,0.352232
CC,RR,CR,0.0128362,0.249615,0.335939
CC,RR,CR,0.0175423,0.246169,0.329253
CC,RR,CR,0.0162545,0.247682,0.330526
CC,RR,CR,0.0176358,0.25143,0.339547
CC,RR,CR,0.0161884,0.247417,0.346026
CC,RR,CR,0.0169981,0.249253,0.328633
CC,RR,CR,0.013674,0.248945,0.366005
CC,RR,CR,0.0162699,0.245326,0.326393
CC,RR,CR,0.0166207,0.257128,0.34049
CC,RR,CR,0.0165437,0.255247,0.33878
CC,RR,CR,0.0183755,0.254675,0.340961
CC,RR,CR,0.0167967,0.257603,0.341404
CC,RR,CR,0.0166222,0.255309,0.342487
CC,RR,CR,0.0166794,0.254548,0.378017
CC,RR,CR,0.0167816,0.255015,0.3415
CC,RR,CR,0.0175387,0.249074,0.337919
CC,RR,CR,0.0166083,0.24913,0.336338
CC,RR,RC,0.017789,0.252501,0.33717
CC,RR,RC,0.0172716,0.256825,0.34328
CC,RR,RC,0.0181701,0.255621,0.343649
CC,RR,RC,0.0143759,0.254229,0.370409
CC,RR,RC,0.0172584,0.251951,0.339817
CC,RR,RC,0.0171339,0.249598,0.339632
CC,RR,RC,0.0171844,0.251577,0.332847
CC,RR,RC,0.0172947,0.250904,0.335944
CC,RR,RC,0.0172032,0.252437,0.341772
CC,RR,RC,0.0181829,0.252783,0.374023
CC,RR,RC,0.0172412,0.249727,0.331145
CC,RR,RC,0.0171777,0.250962,0.333666
CC,RR,RC,0.0171842,0.252488,0.333333
CC,RR,RC,0.0171826,0.251739,0.334996
CC,RR,RC,0.0171939,0.251532,0.342411
CC,RR,RC,0.0170171,0.251589,0.334599
CC,RR,RC,0.0136548,0.25004,0.348816
CC,RR,RC,0.0170114,0.247701,0.332253
CC,RR,RC,0.0169987,0.247602,0.327279
CC,RR,RC,0.0137877,0.245975,0.326271
CC,RR,C,0.0161264,0.248068,0.331259
CC,RR,C,0.0158641,0.249949,0.333004
CC,RR,C,0.0161974,0.250951,0.33272
CC,RR,C,0.0160788,0.250612,0.356963
CC,RR,C,0.0160615,0.250693,0.330236
CC,RR,C,0.0160439,0.251108,0.333555
CC,RR,C,0.0162219,0.251222,0.336382
CC,RR,C,0.0160188,0.251765,0.334829
CC,RR,C,0.0127859,0.251454,0.334419
CC,RR,C,0.0159806,0.249395,0.349715
CC,RR,C,0.0160194,0.249387,0.327775
CC,RR,C,0.0161321,0.248427,0.32894
CC,RR,C,0.0161454,0.247434,0.331185
CC,RR,C,0.0161599,0.247313,0.3289
CC,RR,C,0.0121555,0.226925,0.307481
CC,RR,C,0.0153863,0.22502,0.307142
CC,RR,C,0.0153658,0.225098,0.328621
CC,RR,C,0.0155544,0.225223,0.304233
CC,RR,C,0.0157473,0.225468,0.307955
CC,RR,C,0.0120891,0.225071,0.306312
CC,RR,R,0.0111298,0.224202,0.304296
CC,RR,R,0.0109543,0.22425,0.299924
CC,RR,R,0.0110127,0.225627,0.30022
CC,RR,R,0.0110254,0.225222,0.316818
CC,RR,R,0.0110367,0.225182,0.300721
CC,RR,R,0.0111003,0.225157,0.305756
CC,RR,R,0.0108685,0.223267,0.298053
CC,RR,R,0.0108741,0.223022,0.299819
CC,RR,R,0.0108769,0.223069,0.296965
CC,RR,R,0.0108281,0.223773,0.297935
CC,RR,R,0.0109,0.223099,0.314087
CC,RR,R,0.0108841,0.223006,0.2967
CC,RR,R,0.0075679,0.22317,0.295723
CC,RR,R,0.0107758,0.22401,0.300445
CC,RR,R,0.0109584,0.223645,0.297257
CC,RR,R,0.0108891,0.223832,0.30123
CC,RR,R,0.0108959,0.223253,0.296766
